person1,person2,weight,relation_types,documents_count
Φαῶφι,Θαλλοῦ,1,co_occurs_in_document,1
Φαῶφι,Θαλλοῦ Θωμᾷ,1,co_occurs_in_document,1
Φαῶφι,Φοιβάμμωνι,1,co_occurs_in_document,1
Φαῶφι,Θωμᾶς,1,co_occurs_in_document,1
Φαῶφι,παρὰ Θωμᾶ λαμπροτάτου προνοητῇ κτήσεως Θαλλοῦ παράσχουπρονοητὴς κτήσεως Θαλλοῦ Θωμᾷ προνοητῇ· παράσχου,1,co_occurs_in_document,1
Φαῶφι,Τριάδελφος,1,co_occurs_in_document,1
Φαῶφι,Βιῆγχις Πετορζμῆθος,1,co_occurs_in_document,1
Φαῶφι,ΝιτῄτιοςΝιτήιτιος,1,co_occurs_in_document,1
Φαῶφι,Ψενμώνθης,1,co_occurs_in_document,1
Φαῶφι,Πετοσῖρις Πετεαρπρέους,1,co_occurs_in_document,1
Φαῶφι,Μεμνονείων Πεμσάιτι,1,co_occurs_in_document,1
Φαῶφι,Παθώτου Πουήριος,1,co_occurs_in_document,1
Φαῶφι,Μεμνονείων,1,co_occurs_in_document,1
Φαῶφι,Τραιανοῦ Καίσαρος,1,co_occurs_in_document,1
Φαῶφι,Παχὼν,1,co_occurs_in_document,1
Φαῶφι,Πετ,1,co_occurs_in_document,1
Φαῶφι,Ψενμώνθης ἈμφιώμιοςΨθ Ἀπφοῦτος,1,co_occurs_in_document,1
Φαῶφι,Πέννιος,1,co_occurs_in_document,1
Φαῶφι,Σοχώτης,1,co_occurs_in_document,1
Φαῶφι,Demotic,1,co_occurs_in_document,1
Φαῶφι,Στοτοήτιος,1,co_occurs_in_document,1
Φαῶφι,Πακῦσις Στοτοήτιος,1,co_occurs_in_document,1
Φαῶφι,Πακύσιος,1,co_occurs_in_document,1
Φαῶφι,Σοκνοπαίου Νήσου,1,co_occurs_in_document,1
Φαῶφι,Πρεμμῆχις Ψεμονχήους,1,co_occurs_in_document,1
Φαῶφι,Καίσαρος,1,co_occurs_in_document,1
Φαῶφι,Αὐρήλιοι,1,co_occurs_in_document,1
Φαῶφι,Ταψάις,1,co_occurs_in_document,1
